Start Time,End Time,Transcript（原版本参考，勿删改）,改正版本,如有译文可提供请填写在这里
,,,,
00:00:00:00,00:00:03:07,For those that forgot the roots of country music,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:00:03:07,00:00:06:24,this is rebel radio. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:00:06:24,00:00:07:19,"Hey, Jesco",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:00:07:19,00:00:09:21,I've been listening  to your radio station. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:00:09:21,00:00:12:15,What the fuck are you talking about?,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:00:12:15,00:00:14:25,You sound like your fucked up on moonshine. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:00:14:25,00:00:16:24,What are you drinking in there? ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:00:16:24,00:00:18:24,"Well, tonight, white whiskey ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:00:18:24,00:00:21:02,It's not working here no more,修正文本请输入在这,如有译文可提供，请填写于此
,,,,
00:00:21:02,00:00:24:16,You got to get to corn before the corn gets to cry ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:00:24:16,00:00:26:08,or weeds don't grow. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:00:26:08,00:00:30:09,"This is outlaw, hillbillies will rock your shit",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:00:30:09,00:00:32:21,Get your finger off my trigger cause it's hurry ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:00:32:21,00:00:34:12,It might blow him kill both of us baby,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:00:34:12,00:00:35:22,Yeah. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:03:18:00,00:03:22:06,For those who think  country is gone soft.,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:03:22:06,00:03:24:14,Rebel Radio.,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:03:26:12,00:03:29:11,This fall you bees out there making that honey,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:03:29:11,00:03:32:04,"If you're that sweet enough you can fly this way, honey",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:03:32:04,00:03:35:28,And you give us some your time to get in here and get your work done,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:03:35:28,00:03:38:01,and keep me covered i smoked one,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:03:38:01,00:03:39:29,which is a cigarets legal. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:03:39:29,00:03:41:25,"Y'all are having a good  time out here, man.",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:06:25:08,00:06:26:10,How y'all doing out there? ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:06:26:10,00:06:28:14,"I'm pretty fucked up here, there in this studio. ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:06:28:14,00:06:31:20,"And I got one good one going on, man.",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:06:31:20,00:06:33:25,We've been partying all day right here. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:06:33:25,00:06:36:11,I ain't nobody  gonna fuck with the rebel radio ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:06:36:11,00:06:40:28,Cause I'll back up all these legends and country heroes,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:10:14:10,00:10:18:17,"Because country music  should fight the establishment, ",修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:10:18:17,00:10:19:24,not become it. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:10:19:24,00:10:22:25,This is rebel radio,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:10:22:25,00:10:24:22,My daddy told me ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:10:24:22,00:10:26:05,when I was a young boy. ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:10:26:05,00:10:28:26,He said jesse if you're gonna get a buzz and get fucked up ,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
00:10:28:26,00:10:30:07,and get ripped out of the frame,修正文本请输入在这里,如有译文可提供，请填写于此
,,,,
